replicate,model,delta,gamma
223,exp_both,0.014978065315490943,0.3618172008265676
224,exp_both,0.011445494297962275,0.3693478785297156
225,exp_both,0.015642576757618945,0.37100423967228235
226,exp_both,0.017714626001094837,0.3576617064060172
227,exp_both,0.013516516194500741,0.3672685501603791
228,exp_both,0.02415471148757945,0.36984969986916333
229,exp_both,0.015014106858291623,0.3540872459898509
230,exp_both,0.016893213465156293,0.3557504109281627
231,exp_both,0.017214055020049357,0.3598944779508449
232,exp_both,0.015587251662537552,0.3687896554416543
233,exp_both,0.010502646182352332,0.37847209837882567
234,exp_both,0.010164737142885462,0.3853125032726033
235,exp_both,0.011033284327248604,0.37807529895212366
236,exp_both,0.018127474537619214,0.36979473372156896
237,exp_both,0.011021610918268634,0.3761579656210616
238,exp_both,0.010463681521604835,0.3435369543555665
239,exp_both,0.016732853002920493,0.37147192667151036
240,exp_both,0.013203327610329864,0.3558789756246522
241,exp_both,0.01359154200175885,0.3647138029954538
242,exp_both,0.018050972820523797,0.3642585245413527
243,exp_both,0.017306156466927257,0.36182684418750066
244,exp_both,0.02256823027179131,0.35736516524564443
245,exp_both,0.014653917555949199,0.36718156897243726
246,exp_both,0.02251917622635393,0.35787395872830524
247,exp_both,0.01171601094900429,0.36750384161125127
248,exp_both,0.01523528898630553,0.3801615058295364
249,exp_both,0.0124512944116982,0.36409444553641584
250,exp_both,0.022639317296518725,0.35152636353286454
251,exp_both,0.013351576209680905,0.3737154892807119
252,exp_both,0.018479613576015633,0.35481894276094433
253,exp_both,0.009494160730173685,0.3781090702589019
254,exp_both,0.00997908536076798,0.3809226293208501
255,exp_both,0.01249861098913901,0.3623249559783321
256,exp_both,0.0187124179810748,0.3657105781114205
257,exp_both,0.0124190115424431,0.3728362188490922
258,exp_both,0.027437460883767018,0.35550773734198626
259,exp_both,0.019444866041549463,0.36716591994819536
260,exp_both,0.018658161724951654,0.36888856853237434
261,exp_both,0.021535822817297576,0.36057993123400034
262,exp_both,0.02106385304416342,0.36565852730365905
263,exp_both,0.009560680217145366,0.3662988229867118
264,exp_both,0.020214023609128436,0.36254546389887293
265,exp_both,0.017118763295159194,0.36357779424686426
266,exp_both,0.018695639617972333,0.3467403311251186
267,exp_both,0.020805409253426593,0.3693517232152497
268,exp_both,0.01282928270332034,0.3801118646729468
269,exp_both,0.025715019614816734,0.3683542678200402
270,exp_both,0.015538690060196526,0.3519931898260272
271,exp_both,0.013412574375771931,0.36010735710353264
272,exp_both,0.016681907717720823,0.3519256965629433
273,exp_both,0.013030652393161129,0.3705067949824361
274,exp_both,0.008536287906105763,0.3678292494946026
275,exp_both,0.021408235137525673,0.3592775123781208
276,exp_both,0.007091971711267014,0.3694564100843678
277,exp_both,0.014207173410979048,0.3743685468018681
278,exp_both,0.011787156471367027,0.3869425166835101
279,exp_both,0.01036713016685715,0.37121226526032974
280,exp_both,0.01110451249265733,0.37662562840810315
281,exp_both,0.005717605570728311,0.3615401092825762
282,exp_both,0.01014955659056874,0.36099800545168975
283,exp_both,0.016782208652774522,0.37946413804425105
284,exp_both,0.01671549715568766,0.35972018671625955
285,exp_both,0.016172128776580356,0.35825426980604436
286,exp_both,0.005950228700835839,0.37831927127983717
287,exp_both,0.018971320770509763,0.3687680169034721
288,exp_both,0.013109333149518112,0.36671567928167903
289,exp_both,0.011679138835918026,0.37114326235627254
290,exp_both,0.020610394679980867,0.373372073780343
291,exp_both,0.014499028256600904,0.35250478898109355
292,exp_both,0.008352566645012834,0.35939827555759557
293,exp_both,0.021410245427519802,0.37192364159838265
294,exp_both,0.007958287883915274,0.36587242269509507
295,exp_both,0.014346714492673187,0.3805298299688123
296,exp_both,0.01341444534289687,0.3840240258291889
297,exp_both,0.009453066997631867,0.37417926399476764
298,exp_both,0.01665639892788798,0.38036895193756104
299,exp_both,0.01603963037312974,0.33447276247039115
