model,N_params_B,D_tokens_B,Q_score,parameter_elasticity,data_elasticity,quality_semielasticity,quality_log_elasticity
exp_both,2.8592170985934766,150.0,0.9,0.15231696034530792,0.15448659254804642,0.3649501815677944,0.328455163411015
exp_both,3.0514967087185463,150.0,0.9,0.15045881894861451,0.15601626595608678,0.3649501815677944,0.328455163411015
exp_both,3.256706938378606,150.0,0.9,0.14860539499271894,0.15754205583634218,0.3649501815677944,0.328455163411015
exp_both,3.4757173593470205,150.0,0.9,0.146757122447528,0.15906360493277844,0.3649501815677944,0.328455163411015
exp_both,3.709456021265677,150.0,0.9,0.1449144303595618,0.16058056004242952,0.3649501815677944,0.328455163411015
exp_both,3.958913384225604,150.0,0.9,0.14307774246527455,0.16209257233372254,0.3649501815677944,0.328455163411015
exp_both,4.22514651580987,150.0,0.9,0.14124747681499888,0.1635992976560573,0.3649501815677944,0.328455163411015
exp_both,4.509283570383607,150.0,0.9,0.13942404540819148,0.16510039684008196,0.3649501815677944,0.328455163411015
exp_both,4.812528569611985,150.0,0.9,0.13760785384062021,0.1665955359881386,0.3649501815677944,0.328455163411015
exp_both,5.136166504463437,150.0,0.9,0.13579930096409235,0.1680843867543842,0.3649501815677944,0.328455163411015
exp_both,5.4815687803177235,150.0,0.9,0.1339987785592827,0.16956662661412758,0.3649501815677944,0.328455163411015
exp_both,5.850199028252283,150.0,0.9,0.13220667102217748,0.17104193912195753,0.3649501815677944,0.328455163411015
exp_both,6.243619307132039,150.0,0.9,0.13042335506460587,0.17251001415827377,0.3649501815677944,0.328455163411015
exp_both,6.6634967227837825,150.0,0.9,0.12864919942928557,0.17397054816386875,0.3649501815677944,0.328455163411015
exp_both,7.111610492303711,150.0,0.9,0.12688456461976474,0.1754232443622473,0.3649501815677944,0.328455163411015
exp_both,7.589859483432845,150.0,0.9,0.1251298026455946,0.1768678129694077,0.3649501815677944,0.328455163411015
exp_both,8.100270260948287,150.0,0.9,0.12338525678302142,0.1783039713908464,0.3649501815677944,0.328455163411015
exp_both,8.645005674166473,150.0,0.9,0.12165126135144035,0.17973144440558741,0.3649501815677944,0.328455163411015
exp_both,9.226374021947922,150.0,0.9,0.11992814150580568,0.18114996433707617,0.3649501815677944,0.328455163411015
exp_both,9.84683883403964,150.0,0.9,0.11821621304514772,0.18255927121081356,0.3649501815677944,0.328455163411015
exp_both,10.509029310203521,150.0,0.9,0.11651578223729882,0.1839591128986462,0.3649501815677944,0.328455163411015
exp_both,11.215751461366125,150.0,0.9,0.11482714565988729,0.18534924524966498,0.3649501815677944,0.328455163411015
