budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set,status,reason
1e+21,131072,logarithmic,0.4,0.9076712864512977,32.44962131855018,1.0,2.54062140737783,1.7672153716239535e+20,7.721081772983163e+20,5.117028553928846e+19,1e+21,0.0,0.17672153716239536,0.7721081772983163,0.05117028553928846,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,2048,exponential,0.4,5.643267845537445,249.4067501683259,1.0,2.1676452416811185,8.444814562109427e+21,5.76499340773337e+20,9.786860971172366e+20,1e+22,0.0,0.8444814562109426,0.057649934077333695,0.09786860971172365,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,2048,power,0.4,5.77969306265773,238.56372809940268,1.0,2.169368461947598,8.272950745787295e+21,5.6476677091241276e+20,1.1622824833002899e+21,9.999999999999998e+21,2.220446049250313e-16,0.8272950745787296,0.05647667709124129,0.116228248330029,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,2048,logarithmic,0.4,5.278951220806659,282.38312920381895,1.0,2.163115441456645,8.944120587874228e+21,6.105852987988806e+20,4.4529411332689166e+20,1e+22,0.0,0.8944120587874227,0.061058529879888065,0.044529411332689166,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,4096,exponential,0.4,5.468845975287281,242.61709716203228,1.0,2.171806785893181,7.961013212102781e+21,1.0869436705590998e+21,9.520431173381202e+20,1e+22,0.0,0.7961013212102781,0.10869436705590999,0.09520431173381202,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,4096,power,0.4,5.597869000515056,232.31508237429898,1.0,2.1734967475943154,7.802816387851139e+21,1.0653445308212755e+21,1.1318390813275847e+21,1e+22,0.0,0.7802816387851139,0.10653445308212754,0.11318390813275847,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,4096,logarithmic,0.4,5.1248995008158404,273.7878567196554,1.0,2.167371190768811,8.418811501392005e+21,1.1494483969900553e+21,4.317401016179412e+20,1e+22,0.0,0.8418811501392005,0.11494483969900553,0.04317401016179412,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,8192,exponential,0.4,5.164393100326615,230.56479200812336,1.0,2.1795440783480533,7.14436332614996e+21,1.9508874789273493e+21,9.047491949226913e+20,1.0000000000000002e+22,0.0,0.714436332614996,0.1950887478927349,0.0904749194922691,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,8192,power,0.4,5.28084463214557,221.19389848209266,1.0,2.181174285262459,7.008543668775067e+21,1.9137996578201784e+21,1.0776566734047555e+21,1e+22,0.0,0.7008543668775067,0.19137996578201782,0.10776566734047555,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,8192,logarithmic,0.4,4.854930461066567,258.659830543224,1.0,2.1752769587407847,7.534652942151688e+21,2.057462563403554e+21,4.078844944447598e+20,1.0000000000000002e+22,0.0,0.7534652942151686,0.20574625634035537,0.040788449444475974,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,32768,exponential,0.4,4.031155497690206,183.3867391901259,1.0,2.215246221474574,4.4355627713385364e+21,4.844817363040705e+21,7.196198656207589e+20,1e+22,0.0,0.4435562771338536,0.4844817363040705,0.07196198656207589,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,32768,power,0.4,4.105123285432216,177.28586646304362,1.0,2.2166325230724464,4.366682031572801e+21,4.769581227019252e+21,8.637367414079485e+20,1e+22,0.0,0.4366682031572801,0.47695812270192517,0.08637367414079486,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,32768,logarithmic,0.4,3.837085163748932,201.02059348422583,1.0,2.211656604077627,4.627998821197969e+21,5.055008845767168e+21,3.169923330348635e+20,1e+22,0.0,0.4627998821197969,0.5055008845767168,0.031699233303486354,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,131072,exponential,0.4,2.549735108034441,116.19497320244562,1.0,2.2916755471964185,1.7775984153083802e+21,7.766445983043334e+21,4.559556016482884e+20,1.0000000000000002e+22,0.0,0.177759841530838,0.7766445983043333,0.04559556016482883,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,131072,power,0.4,2.580395128368853,113.63910024239246,1.0,2.2926777932356734,1.7594026839461357e+21,7.686947619672929e+21,5.5364969638093606e+20,1e+22,0.0,0.17594026839461357,0.7686947619672929,0.055364969638093606,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+22,131072,logarithmic,0.4,2.4708530334626118,123.19221175867246,1.0,2.289121282462027,1.8263391007373056e+21,7.979397287061337e+21,1.9426361220135823e+20,1e+22,0.0,0.18263391007373056,0.7979397287061337,0.019426361220135822,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0,feasible,
1e+24,2048,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.1767969773259706e+21,2.417743606507053e+22,0.9758225639349295,0.8905329284049206,0.06079371457910926,0.048673357015970156,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,2048,power,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.4610786959999998e+21,2.446171778374456e+22,0.9755382822162555,0.8801836048757692,0.06008720075951919,0.059729194364711545,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,2048,logarithmic,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,4.7290568634344427e+20,2.3473544774088005e+22,0.976526455225912,0.9172369638912585,0.06261671006830993,0.020146326040431515,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,4096,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,2.9396722947891203e+21,1.1767969773259706e+21,2.564727221246509e+22,0.9743527277875349,0.8394967995811109,0.11461929636947436,0.045883904049414795,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,4096,power,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,2.9396722947891203e+21,1.4610786959999998e+21,2.593155393113912e+22,0.9740684460688609,0.8302935874003057,0.11336275113305509,0.05634366146663921,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,4096,logarithmic,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,2.9396722947891203e+21,4.7290568634344427e+20,2.4943380921482566e+22,0.9750566190785175,0.8631870317871195,0.1178538027400014,0.01895916547287913,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,8192,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,5.879344589578241e+21,1.1767969773259706e+21,2.8586944507254212e+22,0.9714130554927458,0.7531690885986906,0.20566537246001582,0.04116553894129353,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,8192,power,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,5.879344589578241e+21,1.4610786959999998e+21,2.8871226225928245e+22,0.9711287737740718,0.7457529781334309,0.20364027989563555,0.05060674197093353,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,8192,logarithmic,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,5.879344589578241e+21,4.7290568634344427e+20,2.7883053216271687e+22,0.9721169467837283,0.7721823995869036,0.21085727391386383,0.016960326499232556,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,32768,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,2.3517378358312962e+22,1.1767969773259706e+21,4.6224978275988935e+22,0.9537750217240111,0.4657828676911232,0.5087591002834243,0.025458032025452458,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,32768,power,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,2.3517378358312962e+22,1.4610786959999998e+21,4.650925999466297e+22,0.9534907400053371,0.4629358313338183,0.505649377371552,0.031414791294629534,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,32768,logarithmic,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,2.3517378358312962e+22,4.7290568634344427e+20,4.552108698500641e+22,0.9544789130149935,0.47298525510697376,0.5166260279781772,0.0103887169148489,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,131072,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,9.406951343325185e+22,1.1767969773259706e+21,1.1677711335092783e+23,0.8832228866490721,0.1843751940985869,0.8055475146963329,0.010077291205080304,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,131072,power,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,9.406951343325185e+22,1.4610786959999998e+21,1.1706139506960185e+23,0.8829386049303981,0.18392744189959728,0.8035912554888006,0.01248130261160204,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
1e+24,131072,logarithmic,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,9.406951343325185e+22,4.7290568634344427e+20,1.160732220599453e+23,0.8839267779400547,0.18549328224239825,0.8104325163358543,0.004074201421747516,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1,feasible,
