budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set
5.9948425031894214e+23,2048,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.1767969773259706e+21,2.417743606507053e+22,0.9596696059117359,0.8905329284049206,0.06079371457910926,0.048673357015970156,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1
7.742636826811277e+23,2048,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.1767969773259706e+21,2.417743606507053e+22,0.9687736405492394,0.8905329284049206,0.06079371457910926,0.048673357015970156,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1
1e+24,2048,exponential,0.4,11.965825000000002,299.893,1.0,2.110016773935405,2.153080294035e+22,1.4698361473945601e+21,1.1767969773259706e+21,2.417743606507053e+22,0.9758225639349295,0.8905329284049206,0.06079371457910926,0.048673357015970156,upper,False,True,False,True,True,Q:upper|Nmin:0|Nmax:1|Dmin:0|Dmax:1
1e+19,2048,power,0.4,0.14208155170659692,10.0,0.4565932306071731,3.338319402069784,8.524893102395816e+18,5.81966035790221e+17,8.931408618139635e+17,1e+19,0.0,0.8524893102395816,0.05819660357902211,0.08931408618139634,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1.2915496650148827e+19,2048,power,0.4,0.17469300116726516,10.0,0.49485612660857065,3.259632415840458,1.048158007003591e+19,7.155425327811182e+17,1.7183740473317996e+18,1.291549665014883e+19,0.0,0.8115506785343115,0.05540185965460901,0.13304746181107935,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
1.6681005372000557e+19,2048,power,0.4,0.21531990342147186,10.000000000000002,0.5370654313689172,3.1838413755658084,1.2919194205288315e+19,8.819503244143489e+17,2.8798608422978954e+18,1.6681005372000557e+19,0.0,0.7744853452882086,0.05287153290500837,0.1726431218067831,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
2.1544346900318777e+19,2048,power,0.4,0.2657260842096169,10.0,0.5834068602980633,3.111127044825074,1.5943565052577016e+19,1.0884140409225911e+18,4.512367806819172e+18,2.1544346900318777e+19,0.0,0.7400347351602062,0.05051970458693675,0.20944556025285713,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
2.7825594022071144e+19,2048,power,0.4,0.3280024280709447,10.0,0.6340690338934298,3.041539027345749,1.968014568425668e+19,1.3434979453785897e+18,6.801950392435867e+18,2.782559402207114e+19,1.1102230246251565e-16,0.707267764657476,0.04828281273395037,0.2444494226085736,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
3.5938136638046405e+19,2048,power,0.4,0.4046139073553849,10.0,0.6892444904872387,2.9750300544999435,2.4276834441323094e+19,1.6572985645276567e+18,1.0004003632195654e+19,3.5938136638046405e+19,0.0,0.6755173393052908,0.04611531702990785,0.27836734366480137,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
4.641588833612792e+19,2048,power,0.4,0.4984522936618441,10.0,0.7491306689132651,2.9114856401063838,2.990713761971065e+19,2.0416605948389135e+18,1.4467090121578353e+19,4.641588833612791e+19,2.220446049250313e-16,0.6443297476746203,0.04398624410792074,0.31168400821745906,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
