replicate,budget_FLOPs,L_ctx,quality_cost,Q0_B,N_star_B,D_star_B,Q_star_B,predicted_loss,C_train_FLOPs,C_attention_FLOPs,C_quality_FLOPs,C_used_FLOPs,C_unused_fraction,train_fraction_of_used,attention_fraction_of_used,quality_fraction_of_used,Q_active,N_lower_active,N_upper_active,D_lower_active,D_upper_active,support_saturated,active_set
37,1e+22,2048,exponential,0.4,5.644327397470527,249.36451288000924,1.0,2.1704474254229202,8.444969712033171e+21,5.765099323414645e+20,9.78520355625366e+20,1e+22,0.0,0.844496971203317,0.05765099323414645,0.0978520355625366,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
41,1e+19,2048,exponential,0.4,0.12992983953448972,10.000000000000002,0.5538326738749003,3.3078980368686315,7.795790372069385e+18,5.3219262273327e+17,1.6720170051973448e+18,9.999999999999998e+18,2.220446049250313e-16,0.7795790372069387,0.05321926227332701,0.16720170051973451,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
41,1e+21,2048,exponential,0.4,2.323310198338723,53.14754307637427,1.0,2.3894211145705286,7.408693730759216e+20,5.057668253531625e+19,2.0855394438876217e+20,1e+21,0.0,0.7408693730759216,0.05057668253531625,0.20855394438876218,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
41,1e+22,2048,exponential,0.4,5.644595699855628,249.3538197182812,1.0,2.1769430005878987,8.445008991146313e+21,5.765126137955884e+20,9.784783950580984e+20,1e+22,0.0,0.8445008991146313,0.05765126137955884,0.09784783950580984,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
45,1e+19,2048,exponential,0.4,0.12789051829464712,10.0,0.561505775734428,3.311495027570171,7.673431097678826e+18,5.2383956293487475e+17,1.802729339386298e+18,9.999999999999998e+18,2.220446049250313e-16,0.7673431097678828,0.05238395629348748,0.18027293393862986,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
45,1e+21,2048,exponential,0.4,2.3231493276787165,53.15045579113704,1.0,2.376310744758513,7.408586738219842e+20,5.057595213291413e+19,2.0856537404510175e+20,1e+21,0.0,0.7408586738219842,0.050575952132914125,0.20856537404510175,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
45,1e+22,2048,exponential,0.4,5.643928915786161,249.38039601589085,1.0,2.1638090854943908,8.444911368625742e+21,5.7650594943151735e+20,9.785826819427391e+20,1e+22,0.0,0.8444911368625743,0.05765059494315174,0.09785826819427391,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
49,1e+19,2048,exponential,0.4,0.12958939841429487,10.0,0.5551384252461048,3.297012440465866,7.775363904857692e+18,5.307981759049518e+17,1.693837919237355e+18,9.999999999999998e+18,2.220446049250313e-16,0.7775363904857694,0.05307981759049519,0.1693837919237355,interior,False,False,True,False,False,Q:interior|Nmin:0|Nmax:0|Dmin:1|Dmax:0
49,1e+21,2048,exponential,0.4,2.323339705587983,53.14700885449252,1.0,2.375785854676268,7.408713354292716e+20,5.057681649863827e+19,2.0855184807209035e+20,1e+21,0.0,0.7408713354292715,0.050576816498638266,0.20855184807209035,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
49,1e+22,2048,exponential,0.4,5.644234273298345,249.3682245479435,1.0,2.163283207471622,8.444956077990362e+21,5.765090015908088e+20,9.785349204188287e+20,1e+22,0.0,0.8444956077990362,0.05765090015908088,0.09785349204188287,upper,False,False,False,False,False,Q:upper|Nmin:0|Nmax:0|Dmin:0|Dmax:0
